track_name,popularity_score,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
"24/7,365",78,2023-07-24,0.664,0.549,-7.282,0.036,0.202,0.0,0.122,0.408
Moonlight,82,2023-03-03,0.642,0.706,-6.872,0.052,0.518,0.0,0.25,0.896
Zhurek,61,2023-10-06,0.693,0.655,-4.411,0.031,0.68,0.00344,0.346,0.702
3:15,79,2021-05-21,0.451,0.627,-4.59,0.127,0.591,0.00958,0.118,0.77
Wild,85,2023-03-24,0.708,0.731,-4.872,0.0345,0.0189,4.47e-06,0.129,0.379
Wake,86,2013-01-01,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643
Mood,72,2023-01-06,0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532
PastLives,49,2023-01-08,0.289,0.0208,-24.932,0.0283,0.93,0.937,0.0758,0.0366
Hits2023,57,2024-02-05,0.495,0.76,-7.814,0.0527,0.036,0.0001,0.0637,0.673
ThatGirl,12,2022-09-16,0.563,0.632,-5.833,0.0619,0.0206,0.858,0.208,0.544
CloseEyes,28,2023-04-03,0.259,0.12,-25.772,0.0575,0.961,0.961,0.106,0.0883
goldenhour,33,2023-04-03,0.303,0.244,-21.294,0.0672,0.973,0.962,0.114,0.165
Novocaine2,56,2023-04-14,0.616,0.11,-13.764,0.553,0.882,1.85e-05,0.114,0.33
AreYouLost,0,2020-06-12,0.905,0.412,-11.608,0.0844,0.272,0.914,0.107,0.767
Lover,90,2019-08-23,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453
magnolia,80,2017-04-14,0.791,0.582,-7.323,0.286,0.0114,0.0,0.35,0.443
MoveYourBody,0,2020-10-15,0.923,0.261,-11.769,0.163,0.119,0.949,0.11,0.239
3Strikes,59,2016-10-21,0.599,0.432,-6.097,0.0451,0.62,0.00773,0.105,0.615
LikeIDo,12,2021-08-28,0.71,0.285,-9.853,0.0297,0.611,8.25e-06,0.18,0.403
IntoYou,24,2023-03-28,0.177,0.201,-22.457,0.0635,0.912,0.892,0.108,0.111
EmptyLove,0,2020-02-21,0.783,0.505,-11.701,0.366,0.0831,2.38e-06,0.114,0.408
III,72,2013-12-10,0.59,0.446,-12.759,0.0731,0.621,0.00235,0.0731,0.399
BleedingLove,22,2023-06-01,0.325,0.241,-20.885,0.121,0.95,0.976,0.107,0.0528
Unstoppable,81,2016-10-21,0.468,0.779,-4.839,0.0779,0.112,0.000373,0.101,0.26
LoveStory,43,2020-04-08,0.672,0.477,-6.292,0.0311,0.689,0.0,0.618,0.657
AllForLove,1,2023-01-12,0.613,0.648,-8.773,0.0332,0.218,0.883,0.0902,0.134
"KissMe,KillMe",0,2022-12-24,0.304,0.919,-6.126,0.821,9.18e-05,0.00012,0.222,0.343
Ferrari,81,2016-08-20,0.501,0.0958,-15.605,0.0433,0.77,0.0,0.298,0.204
AsItWas,27,2023-04-19,0.3,0.0847,-29.423,0.0666,0.984,0.836,0.1,0.0943
novocaine,72,2023-01-13,0.608,0.311,-11.255,0.154,0.592,0.0,0.174,0.426
PullUp,34,2020-07-15,0.556,0.42,-13.875,0.47,0.34,3.3e-06,0.165,0.471
DieForYou,23,2023-05-26,0.281,0.129,-24.657,0.0354,0.965,0.874,0.104,0.0444
Sugar,81,2014-09-02,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884
SelfLove,15,2023-09-07,0.741,0.935,-5.502,0.338,0.0495,0.0257,0.303,0.616
ShapeofYou,23,2023-06-01,0.303,0.216,-22.422,0.0453,0.932,0.899,0.115,0.109
EveryTimeWeTouch,25,2023-03-20,0.18,0.134,-23.615,0.0525,0.916,0.927,0.135,0.035
Daydream,82,2013-10-08,0.636,0.676,-3.442,0.0263,0.0807,0.0,0.0831,0.273
Temple,56,2013-09-24,0.475,0.644,-7.782,0.0326,0.00087,0.279,0.123,0.568
Butterflies,69,2018-03-30,0.689,0.614,-6.137,0.0306,0.252,1.95e-05,0.178,0.411
SoftLips,0,2012-11-27,0.276,0.375,-10.92,0.0328,0.67,0.099,0.177,0.185
Enemy,74,1999-02-22,0.494,0.946,-2.757,0.0637,0.00129,0.0,0.398,0.741
TheDawn,3,2024-03-23,0.461,0.564,-12.255,0.341,0.327,9.45e-06,0.302,0.116
Reminder,85,2016-11-25,0.706,0.505,-6.923,0.193,0.142,0.0,0.164,0.388
Choke,70,2018-08-24,0.516,0.85,-3.909,0.0706,0.00139,0.0,0.296,0.583
TowardstheLight,0,2024-03-11,0.399,0.241,-15.589,0.0444,0.832,0.0,0.107,0.51
TheBestOfMe,0,2022-10-28,0.403,0.478,-7.162,0.0447,0.825,0.0,0.362,0.161
Teeth,78,2020-03-27,0.745,0.454,-2.986,0.0392,0.0437,3.47e-06,0.0741,0.43
CruelSummer,0,2023-07-30,0.676,0.59,-8.463,0.353,0.0196,0.0,0.107,0.398
wyd?,69,2021-12-10,0.378,0.334,-10.993,0.304,0.776,0.0,0.115,0.496
EyesClosed,40,2014-10-03,0.586,0.416,-12.813,0.0292,0.00164,0.324,0.108,0.175
Sleeptalking,46,2021-04-02,0.696,0.664,-8.01,0.105,0.000242,0.0,0.116,0.182
LoveYourself,30,2020-02-01,0.58,0.692,-11.966,0.123,0.0192,0.0227,0.2,0.637
RideIt,5,2023-06-23,0.666,0.995,-1.775,0.0812,0.406,0.747,0.635,0.822
BlackMagic,32,1984,0.5,0.796,-6.558,0.0497,5.27e-05,0.00122,0.159,0.194
SlowDown,61,2023-01-05,0.0619,0.00326,-37.546,0.0485,0.977,0.88,0.126,0.122
SOTIRED,2,2021-08-06,0.814,0.353,-12.161,0.166,0.886,0.279,0.429,0.494
WhoSays,27,2023-05-05,0.341,0.208,-22.323,0.0805,0.956,0.875,0.161,0.108
GoAgain,0,2019-08-04,0.584,0.627,-14.226,0.0306,0.000684,0.0529,0.0544,0.963
PLAY,93,2023-07-28,0.569,0.882,-2.777,0.06,0.0316,0.0,0.142,0.201
OneLastTime,36,2023-03-11,0.299,0.0893,-26.523,0.0401,0.971,0.94,0.109,0.104
Julie.,73,2019-04-12,0.546,0.586,-8.488,0.0313,0.00346,0.00114,0.0562,0.364
HeatWaves,25,2023-03-23,0.354,0.167,-27.337,0.0494,0.968,0.941,0.115,0.157
NightDrive,49,2021-07-02,0.495,0.612,-8.001,0.0572,0.000422,0.874,0.071,0.378
Popular,76,2019-11-20,0.461,0.897,-3.982,0.092,0.00821,0.0,0.0965,0.358
Payphone,72,2012-01-01,0.739,0.756,-4.828,0.0394,0.0136,0.0,0.37,0.523
Hush,66,2023-12-01,0.548,0.113,-22.907,0.0501,0.995,0.958,0.1,0.449
doubletake,11,1986-01-01,0.589,0.769,-7.911,0.0589,0.0412,0.927,0.0815,0.809
OneOfTheGirls,0,2023-06-28,0.62,0.389,-19.718,0.0432,0.0962,0.557,0.131,0.721
Balenciaga,65,2018-08-03,0.767,0.715,-4.934,0.0523,0.312,0.0,0.0973,0.577
Shootout,60,2021-09-06,0.819,0.665,-7.389,0.249,0.444,0.0,0.14,0.334
SeeYouAgain,25,2023-03-14,0.37,0.178,-20.913,0.0584,0.886,0.929,0.116,0.0508
MeantToBe,6,2023-04-29,0.598,0.514,-4.612,0.0508,0.277,0.0,0.111,0.514
exile,80,2020-07-24,0.298,0.38,-8.426,0.0287,0.778,5.62e-05,0.11,0.152
redrum,93,2024-01-12,0.624,0.74,-8.445,0.0481,0.00529,0.000224,0.5,0.246
TurnThePage,0,2023-08-25,0.741,0.448,-17.079,0.0331,0.742,0.222,0.15,0.842
RunningUpThatHill,38,2023-05-18,0.268,0.134,-25.488,0.0744,0.975,0.919,0.114,0.0934
Wellerman,72,2021-01-21,0.675,0.359,-5.157,0.108,0.614,0.0,0.137,0.792
Alone,76,1987-06-06,0.418,0.452,-13.099,0.0356,0.638,0.00026,0.0959,0.168
Bones,85,2022-07-01,0.772,0.75,-3.67,0.0455,0.0201,0.0,0.074,0.587
Honest,79,2019-07-19,0.676,0.536,-8.79,0.0432,0.403,3.37e-05,0.105,0.373
Iwantedyou,33,2024-01-19,0.524,0.777,-6.527,0.078,0.0233,6.03e-06,0.55,0.0798
AllGirlsAreTheSame,0,2024-03-04,0.72,0.334,-14.071,0.403,0.0026,1.67e-05,0.144,0.324
SoldOut,22,2022-01-06,0.563,0.614,-9.147,0.0298,0.688,0.947,0.117,0.332
AllNight,18,1984-01-01,0.642,0.709,-14.337,0.0966,0.398,0.00204,0.296,0.815
RedMoon,13,2013-01-29,0.685,0.439,-6.527,0.0895,0.00795,0.0889,0.0894,0.274
Repeat,68,2018-10-19,0.233,0.15,-11.736,0.0336,0.982,0.36,0.154,0.0875
AllMyPeople,0,2008-08-06,0.914,0.661,-6.117,0.164,0.247,0.0,0.317,0.797
safespace,21,2020-03-20,0.74,0.09,-19.826,0.0407,0.767,0.904,0.124,0.25
LetGo,36,2022-06-07,0.571,0.249,-6.671,0.0444,0.592,0.0,0.426,0.511
DARKRAVE,38,2019-05-13,0.63,0.809,-7.313,0.239,0.0289,0.0,0.231,0.504
Insane,81,2021-06-11,0.716,0.712,-5.826,0.144,0.193,0.0,0.823,0.797
TekIt,40,2021-10-11,0.693,0.674,-6.361,0.0349,0.66,1.13e-06,0.38,0.257
StayTheNight,35,2013-08-08,0.585,0.666,-12.115,0.0315,0.292,0.639,0.393,0.965
LEFTRIGHT,47,2023-08-27,0.808,0.547,-7.97,0.0608,0.388,0.876,0.0857,0.505
Clues,58,2024-01-23,0.732,0.701,-6.197,0.109,0.348,1.94e-05,0.107,0.654
SeaofTranquility,0,2024-02-20,0.183,0.0134,-29.832,0.0365,0.862,0.927,0.116,0.0967
SoFarAway,8,2023-03-17,0.832,0.709,-3.349,0.277,0.498,0.762,0.125,0.354
SaveYours,9,2022-06-20,0.58,0.62,-7.008,0.163,0.122,1.11e-06,0.145,0.553
Dehors,47,2017-05-08,0.634,0.662,-7.179,0.0483,0.579,0.289,0.147,0.53
50Feet,50,2018-11-30,0.515,0.458,-9.854,0.0868,0.158,0.0,0.0919,0.117
WatchMeWork,0,2024-01-25,0.767,0.649,-14.06,0.275,0.34,2.51e-05,0.132,0.388
Nonsense,88,2022-07-15,0.74,0.697,-4.912,0.034,0.0268,0.0,0.224,0.732
RunFree,0,2014-12-23,0.608,0.674,-5.293,0.231,0.0141,3.1e-05,0.12,0.401
Levels,77,2023-02-10,0.8,0.555,-7.487,0.244,0.116,0.0,0.562,0.502
STAY,72,2012-01-01,0.621,0.31,-10.164,0.0283,0.945,6.12e-05,0.117,0.125
seeyoutomorrow,0,2019-09-22,0.637,0.36,-11.954,0.224,0.647,1.49e-05,0.157,0.209
