Track_name,Artist_name
Repeat,"Chester Young, Rave Republic, Kris Kiss"
ThingsYouSaid,"Cody Fry, Abby Cates"
Dehors,JORDANN
CruelSummer,Taylor Swift
STAY,"The Kid LAROI, Justin Bieber"
LikeIDo,"J.Tajor, sunkis"
EmptyLove,"Lulleaux, Kid Princess"
goldenhour,JVKE
OneOfTheGirls,"The Weeknd, JENNIE, Lily-Rose Depp"
LoveStory,Taylor Swift
RedMoon,sledg3r
AllNight,"IVE, Saweetie"
LikeIDo,J.Tajor
EveryTimeWeTouch,Dream Tunes
Wake,Hillsong Young & Free
Starboy,"Grimmmz, Worry Free Studios"
FoolForYou,KASTRA
HeadInTheClouds,Hayd
BABYDOLL,Ari Abdul
SlowDown,"Madnap, Pauline Herr"
GoAgain,"King CAAN, Elysa"
Daydream,AxR
Starboy,"The Weeknd, Daft Punk"
Zhurek,Adam
exile,"Taylor Swift, Bon Iver"
Shootout,"Izzamuzzic, Julien Marchal"
Bones,Imagine Dragons
Duvet,Ba
RedMoon,Lil Uzi Vert
"24/7,365",elijah woods
Payphone,"ALEMA, Robbe"
AfterHours,The Weeknd
SOTIRED,"NUEKI, TOLCHONOV"
SeaofTranquility,BeMax
DieForYou,The Weeknd
WatchMeWork,Tinashe
TheDawn,Dreamtale
III,Athletics
StayTheNight,"Just Kiddin, Camden Cox"
TheBestOfMe,"Dion Timmer, The Arcturians"
SeeYouAgain,"Wiz Khalifa, Charlie Puth"
AllMyPeople,Alexandra Stan
TekIt,Cafun
MeantToBe,"Arc North, Krista Marina"
RideIt,"Larissa Lambert, Jay Sean"
Payphone,"Maroon 5, Wiz Khalifa"
RunningUpThatHill,Trinix Remix
Lover,Taylor Swift
PastLives,"sapientdream, Slushii"
doubletake,Dhruv
Clues,Ashley Alisha
BleedingLove,"Ni, Co"
Moonlight,Kali Uchis
NightDrive,Wilee
Honest,rei brown
OnceUponaTime,"Max Oazo, Moonessa"
SoFarAway,Adam Christopher
Levels,JordanBeats
Iwantedyou,Ina Wroldsen
Hits2023,Trinix Remix
EyesClosed,Imagine Dragons
50Feet,SoMo
SoFarAway,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya"
SelfLove,"Metro Boomin, Coi Leray"
PLAY,"Ricii Lompeurs, Ticia"
BetOnMe,"Walk off the Earth, D Smoke"
CallingMyPhone,"Lil Tjay, 6LACK"
MoveYourBody,"wnboss, SEVEK, RAIZHELL"
Choke,T3muz
Nonsense,Sabrina Carpenter
BlackMagic,Jonasu
AllForLove,Tungevaag & Raaban
TurnThePage,Sam Lin
redrum,21 Savage
fuzzywuzzy,Versutus
magnolia,keshi
novocaine,"GenriX, CORBAL, Shiloh Dynasty"
TheMiddle,Dream Tunes
Alone,Rentz
Popular,"The Weeknd, Playboi Carti, Madonna"
Ferrari,Bebe Rexha
SoftLips,BlankCh3ck
DancingWithYourGhost,Sasha Alex Sloan
Mood,"24kGoldn, iann dior"
Novocaine2,"Cloke, Shiloh Dynasty"
Closer,"The Chainsmokers, Halsey"
AllGirlsAreTheSame,Juice WRLD
"KissMe,KillMe",ARI HICKS
Butterflies,nohidea.
wyd?,Larissa Lambert
HeatWaves,Glass Animals
WhoSays,Selena Gomez
Sleeptalking,"imfinenow, MIA"
Wild,Monogem
Unstoppable,Sia
GoAgain,"King CAAN, Elysa"
ShapeofYou,Ed Sheeran
Payphone,"Maroon 5, Wiz Khalifa"
AreYouLost,Park Bird
ThatGirl,Olly Murs
SoldOut,"Jonathan Steingard, Hawk Nelson"
Lullaby,Enzalla
LoveYourself,Justin Bieber
DARKRAVE,"l19u1d, killanoia"
ThingsYouSaid,Cody Fry
AsItWas,PREP
BetOnMe,"Walk off the Earth, D Smoke"
LEFTRIGHT,XG
Hush,The Maras
Wellerman,Nathan Evans
CloseEyes,DVRST
PullUp,Luh Kel
OneLastTime,"Ebony Day, Corey Gray"
Balenciaga,T3nzu
LetGo,Beau Young Prince
Reminder,The Weeknd
Underground,Lindsey Stirling
3Strikes,Terror Jr
RunFree,"Deep Chills, IVIE"
Gravity,Jai Wolf
Julie.,Gallant
Enemy,"Imagine Dragons, JID, , Arcane"
Teeth,5 Seconds of Summer
Insane,"Black Gryph0n, Baasik"
Sugar,Maroon 5
Scopin,Kordhell
seeyoutomorrow,Versutus
safespace,"ptasinski, RJ Pasin, m3gatron"
3:15,Russ
TowardstheLight,Jacoo
Temple,"Zerky, Liu"
SaveYours,"MadeinTYO, 24hrs"
IntoYou,"DubVision, Matvey Emerson"
