track_name,popularity_score,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Everything I Love,73,2023-03-03,0.568,0.841,-3.802,0.0261,0.00514,0.000503,0.147,0.668
Need A Favor,79,2023-06-02,0.502,0.771,-4.246,0.032,0.0123,1.82e-05,0.0801,0.557
TQG,85,2023-02-24,0.72,0.63,-3.547,0.277,0.673,0.0,0.0936,0.607
Bebe Dame,76,2022-12-28,0.529,0.602,-4.629,0.0458,0.299,0.0,0.0716,0.756
Sure Thing,86,2010-11-26,0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498
I Like You (A Happier Song),81,2022-06-03,0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472
Thinkin' Bout Me,86,2023-03-03,0.656,0.757,-5.775,0.0308,0.492,0.0,0.117,0.429
Made You Look,84,2022-10-21,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884
Until I Found You,80,2021-09-01,0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227
Anti-Hero,89,2022-10-21,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533
Tomorrow 2,70,2022-11-11,0.795,0.814,-3.945,0.4,0.0736,0.0,0.117,0.68
Religiously,80,2023-01-11,0.57,0.67,-6.519,0.0274,0.426,0.0,0.108,0.593
All I Want For Christmas Is You,71,1994-10-28,0.336,0.627,-7.463,0.0384,0.164,0.0,0.0708,0.35
Dial Drunk,76,2023-06-09,0.693,0.595,-7.578,0.0311,0.0969,0.0,0.113,0.646
Lift Me Up,59,2013-07-30,0.519,0.985,-4.157,0.138,9.66e-05,0.0,0.208,0.151
Superhero (Heroes & Villains),85,2022-12-02,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492
Bloody Mary,69,2011-01-01,0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432
Cruel Summer,96,2019-08-23,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564
I'm Good (Blue),45,2022-09-29,0.642,0.927,-4.207,0.03,0.0545,0.000739,0.254,0.407
Fast Car,86,2023-03-24,0.712,0.603,-5.52,0.0262,0.186,0.0,0.115,0.67
What It Is (Block Boy),69,2023-03-17,0.731,0.744,-5.77,0.174,0.109,0.0,0.123,0.727
Thank God,79,2023-07-28,0.657,0.553,-7.08,0.0394,0.254,0.0,0.129,0.576
Kill Bill,86,2022-12-08,0.644,0.735,-5.747,0.0391,0.0521,0.144,0.161,0.418
Favorite Song,70,2023-02-17,0.816,0.367,-9.354,0.0588,0.314,0.0,0.0987,0.413
Rock And A Hard Place,81,2023-01-11,0.582,0.568,-7.3,0.0275,0.577,0.0,0.105,0.394
Rich Flex,82,2022-11-04,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424
